Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
UQZ09610.1_Freshwater_macrophyte_associated_wei-like_virus_1___720,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_AOG17585.1_Symbiodinium_+ssRNA_virus_TR74740_c13_g1_i1,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_APG78099.1_Beihai_weivirus-like_virus_10,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_APG78103.1_Beihai_weivirus-like_virus_19,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_ASM94029.1_Barns_Ness_breadcrumb_sponge_weivirus-like_virus_1,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_ASM94035.1_Barns_Ness_breadcrumb_sponge_weivirus-like_virus_5,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_ASM94036.1_Barns_Ness_breadcrumb_sponge_weivirus-like_virus_6,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_ASM94040.1_Barns_Ness_breadcrumb_sponge_weivirus-like_virus_9,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009336935.1_Beihai_weivirus-like_virus_8,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009336943.1_Beihai_weivirus-like_virus_17,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009336960.1_Beihai_weivirus-like_virus_2,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009336973.1_Beihai_weivirus-like_virus_3,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009336992.1_Beihai_weivirus-like_virus_16,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337004.1_Beihai_weivirus-like_virus_5,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337047.1_Beihai_weivirus-like_virus_7,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337063.1_Beihai_weivirus-like_virus_18,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337072.1_Beihai_weivirus-like_virus_21,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337101.1_Beihai_weivirus-like_virus_13,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337128.1_Beihai_weivirus-like_virus_1,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337141.1_Beihai_weivirus-like_virus_15,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337162.1_Beihai_weivirus-like_virus_4,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337183.1_Beihai_weivirus-like_virus_12,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337204.1_Beihai_weivirus-like_virus_11,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337226.1_Beihai_weivirus-like_virus_20,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009337250.1_Beihai_weivirus-like_virus_9,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_YP_009342067.1_Wenzhou_weivirus-like_virus_1,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_add_BHZY60786_Beihai_weivirus-like_virus_14,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
positive-weivirus-like_ASM94039.1_Barns_Ness_breadcrumb_sponge_weivirus-like_virus_8,Weivirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Weivirus,Riboviria|Orthornavirae|||||||||
